edition_id,topic_name,category,mechanism_summary,case_reference,source_document,scale_figure,status
1,Trade-Based Money Laundering,Laundering,Over/under-invoicing and phantom shipments used to move value through legitimate trade finance channels,Operation Fashion Black ($200M Colombia-US 2013),FATF Trade-Based Money Laundering Risk Indicators 2022,"$1.6T laundered annually through trade channels (FATF)",generated
2,Silk Road and Early Darknet Markets,Darknet,How Tor + PGP + multi-sig escrow created the first scalable anonymous marketplace,Silk Road 1 takedown 2013 Ross Ulbricht,American Kingpin by Nick Bilton,$1.2B in Bitcoin transactions on Silk Road (FBI),pending
3,Hawala and Informal Value Transfer,Laundering,Trust-based money transfer outside banking systems using settlement networks across diaspora communities,Al-Kaddafi hawala network Dubai-Libya 2011,FATF Report on Informal Value Transfer Systems (2013),$200-300B flows through hawala annually (World Bank est),pending
4,Crypto Mixer Evolution Bitcoin Fog to Tornado Cash,Laundering,How blockchain obfuscation services evolved from simple coinjoin to smart-contract-based anonymity pools,Tornado Cash sanctions OFAC 2022 Roman Storm indictment,"Chainalysis 2024 Crypto Crime Report, DOJ v. Storm 2023","$7B+ laundered through crypto mixers since 2019 (Chainalysis)",pending
5,AlphaBay Takedown,Darknet,How law enforcement identified and dismantled the largest darknet market through server seizure and admin arrest,AlphaBay seized 2017 Operation Bayonet,"Wired investigation, DOJ press release July 2017",AlphaBay had 400K+ users and $1B+ in transactions, pending
6,Oil Sanctions Evasion Iranian Ghost Fleet,Sanctions,How Iran bypasses petroleum sanctions using ship-to-ship transfers flag hopping and falsified documentation,"Gulf Sky Oman-flagged tanker ship-to-ship, OFAC designations 2023-2024","United Against Nuclear Iran reports, OFAC press releases","~1.5M barrels/day of Iranian oil evades sanctions (S&P Global)",pending
7,North Korean IT Worker Infiltration,Sanctions,How DPRK operatives pose as remote contractors using stolen identities to earn sanctions-evading revenue,DOJ indictments 2022-2024 freelance platform fraud,DOJ v. DPRK IT workers (multiple indictments 2022-2024),$1.7B+ in revenue for DPRK weapons programs via cyber, pending
8,Real Estate Laundering London Dubai,Laundering,How opaque property markets in global cities serve as value stores for illicit wealth through shell companies,Pandora Papers 2021 UK unexplained wealth orders,ICIJ Pandora Papers investigation,UAE real estate saw $2.2B in suspicious transactions 2020-2022 (Transparency Intl),pending
9,Hydra Market and Russian Darknet,Darknet,How the Russian-language darknet market operated differently from Western markets with distinct escrow and dispute systems,Hydra seized 2022 by German police $5B volume,"BKA (German Federal Police) press release 2022, Chainalysis","$5B+ in Bitcoin transactions Hydra's lifetime (Chainalysis)",pending
10,Semiconductor Diversion to Russia,Sanctions,How front companies in third countries procure dual-use microelectronics for Russian military applications,BIS enforcement actions 2022-2025 front companies in Hong Kong Singapore,"BIS press releases, Royal United Services Institute reports","$1.8B in electronics exports to Russia from third parties 2022-2023 (RUSI)",pending
11,Art and Antiquities Laundering,Laundering,How high-value art functions as bearer instrument for value transfer through freeports and opaque auctions,Freeport system Geneva Luxembourg Bouvier case,Art of the Con by Anthony M. Amore,$50B+ in art held in freeports globally (estimates),pending
12,Shell Companies Panama Papers Deep Dive,Laundering,How offshore entity formation services enable anonymous shell ownership for money movement,Mossack Fonseca leak 2016 214K offshore entities,ICIJ Panama Papers investigation,214K+ offshore entities across 200+ jurisdictions in leak, pending
13,Golden Triangle Drug Routes,Smuggling,How opium from Myanmar/Laos/Thailand is processed and trafficked through Southeast Asian distribution networks,Capture of Shwe Kokko compound Myanmar 2023-2024,"UNODC World Drug Report, International Crisis Group reports","~500-600 tons of opium produced annually in Myanmar (UNODC)",pending
14,Wildlife Trafficking Supply Chains,Smuggling,How endangered species products move from source countries through transit hubs to consumer markets,Pangolin scale trade Africa-Asia CITES enforcement operations,"UNODC World Wildlife Crime Report 2024, TRAFFIC reports","$7-23B annually in illegal wildlife trade (UNEP)",pending
15,Hawala vs Formal Banking After 9/11,Laundering,How counter-terrorism financing regulations reshaped informal value transfer systems and pushed them further underground,USA PATRIOT Act Title III hawala crackdowns,FATF standards for informal value transfer systems 2001-present,$200-300B through informal systems annual World Bank, pending
16,Hydra vs Western Darknet Markets,Darknet,How Russian-language markets differ in structure escrow and law enforcement vulnerability compared to Western markets,"Hydra admin arrests, Bitcoin seizures by German police","BKA press releases, Flashpoint reports on Russian darknet","$1.5B annual Hydra turnover before takedown (BKA)",pending
17,Cigarette and Tobacco Diversion,Smuggling,How tobacco products are routed through free trade zones and transshipment hubs to avoid excise duties,"EU tobacco fraud, Montenegro-Dubai routing, JTI investigations","Transcrime reports, OLAF investigations","$40-50B annually in illicit tobacco trade (WHO)",pending
18,Correspondent Banking De-Risking,Laundering,How global banks sever relationships with entire regions and sectors creating orphan jurisdictions vulnerable to illicit flows,"Operation Choke Point, Somalia remittance crisis 2015-2020","World Bank reports on de-risking, FATF guidance","$7.2B in remittances cut off from formal channels (World Bank)",pending
19,Cobalt and Mineral Smuggling from DRC,Smuggling,How conflict minerals enter global supply chains through Rwanda Uganda and Gulf transit hubs,Dodd-Frank Section 1502 conflict minerals reporting,"UN Group of Experts on DRC reports, Enough Project","$400M in DRC minerals smuggled annually (UN estimates)",pending
20,Counterfeit Pharmaceuticals,Smuggling,How fake medicines move through free trade zones and into emerging market supply chains,Interpol Operation Pangea 2008-2024 ongoing,"Interpol reports, WHO Global Surveillance System","$200B+ annually in counterfeit pharmaceuticals (WHO)",pending
21,Crypto Cross-Chain Laundering,Laundering,How cross-chain bridges and DEX aggregators enable value movement across blockchains to evade tracing,"RenBridge, THORChain usage by Lazarus Group 2022-2024","Chainalysis reports, Elliptic investigations","$5B+ laundered through cross-chain methods in 2023 (Chainalysis)",pending
22,Human Smuggling via Mediterranean,Smuggling,How smuggling networks operate across North Africa moving migrants through Libya to Europe,Libyan coast networks Europol investigations 2015-2024,"Europol reports, Frontex risk analysis","$6-10B annually in migrant smuggling to EU (Europol)",pending
23,Gold Smuggling Dubai-Africa Corridor,Smuggling,How gold from conflict zones is smuggled through UAE and re-exported as legitimate,Dubai gold souk Uganda-UAE route Mwenda case,SWIFT/UN Comtrade data analysis reports,$30B+ in gold shipped from UAE to non-producing countries, pending
24,North Korea Lazarus Group Methodology,Sanctions,How the DPRK's most prolific hacking group moves stolen crypto through increasingly complex laundering chains,$1.7B in crypto heists 2017-2024 social engineering tactics,"Chainalysis reports, TRM Labs analysis, UN Panel of Experts","$1.7B+ stolen by Lazarus Group 2017-2024 (multiple sources)",pending
25,DeFi Protocols as Sanctions Loopholes,Sanctions,How decentralized finance platforms enable value movement without the identity verification required by centralized exchanges,Chainalysis reports on DeFi sanctions exposure 2023-2024,"Chainalysis Crypto Crime Report 2024, FATF guidance on VASPs","$1.2B+ in sanctions-evading transactions via DeFi in 2023",pending
26,Container Smuggling Drugs Wildlife Weapons,Smuggling,How global container shipping is exploited for bulk smuggling and the technologies being deployed to detect it,Port of Antwerp corruption scanning technology case studies,"UNODC container smuggling reports, World Customs Organization","$50-100B in containerized illicit trade annually (WCO estimates)",pending
27,FATF Grey and Dark Lists Impact,Laundering,How being placed on FATF monitoring lists affects capital flows and financial access for listed jurisdictions,Pakistan grey-listed 2018-2022 UAE grey-listed 2022-2024,"FATF public statements, World Bank compliance reports","~20% capital flow reduction for grey-listed nations (IMF studies)",pending
28,Sports and Gambling Money Laundering,Laundering,How the sports industry including club ownership and gambling enables value transfer across jurisdictions,UK football club ownership esports skin betting cases,"UK Football White Paper 2023, Europol sports corruption reports","$140-340B annually in illegal sports betting (FATF)",pending
29,Darknet Enforcement Methods,Darknet,How law enforcement agencies penetrate darknet markets through technical and human-source methods,FBI HSI undercover operations controlled delivery takedown ops,"DOJ press releases on darknet operations, Army War College papers","~60% of major darknet markets have been taken down since 2013",pending
30,Ghost Fleet Ship-to-Ship Oil Transfers,Sanctions,How aging tankers with opaque ownership structures transfer oil at sea to evade sanctions monitoring,Dark fleet carrying Russian/Iranian oil insurance coverage gaps,"S&P Global reports, Windward analysis, IMO data","~1,000 ships in dark fleet carrying sanctioned oil (Windward)",pending
31,3D-Printed Firearms and Parts Smuggling,Smuggling,How digitally manufactured firearms components circumvent traditional arms trafficking detection models,FGC-9 design DIY firearm proliferation ITAR enforcement,"Small Arms Survey reports, Bureau of ATF enforcement","~20,000+ unserialized firearms recovered by ATF annually 2021-2024",pending
32,Trade Finance Fraud Double-Invoicing,Laundering,How fraudulent trade documents are used to secure multiple financing against the same underlying transaction,"NMC Healthcare $4B fraud, Agritrade Resources","FCI reports on trade finance fraud, Wolfsberg Group guidance","$4-10B in trade finance fraud losses annually (ICC estimates)",pending
